day,stakeholder_id,name,weight_before,weight_after,delta,reason,run_id,condition,seed
1,industry,Industry / Businesses,1.0,1.0,0.0,no move today,deeper_cascade_seed0,deeper_cascade,0
1,energy_utility,Energy Utility,4.0,4.0,0.0,no move today,deeper_cascade_seed0,deeper_cascade,0
1,epa,Environmental Protection Agency,1.5,1.5,0.0,no move today,deeper_cascade_seed0,deeper_cascade,0
2,hospital,Hospital / Healthcare Services,5.0,5.3,0.3,cooperative (accept); cooperative (accept),deeper_cascade_seed0,deeper_cascade,0
2,households,Households,3.0,3.3,0.3,cooperative (accept); cooperative (accept),deeper_cascade_seed0,deeper_cascade,0
2,agriculture,Agriculture,2.0,2.3,0.3,cooperative (propose_trade); cooperative (propose_trade),deeper_cascade_seed0,deeper_cascade,0
2,industry,Industry / Businesses,1.0,1.1,0.1,objected in genuine crisis; objected in genuine crisis,deeper_cascade_seed0,deeper_cascade,0
2,energy_utility,Energy Utility,4.0,4.3,0.3,cooperative (accept); cooperative (accept),deeper_cascade_seed0,deeper_cascade,0
2,epa,Environmental Protection Agency,1.5,1.8,0.3,cooperative (accept); cooperative (accept),deeper_cascade_seed0,deeper_cascade,0
3,hospital,Hospital / Healthcare Services,5.3,5.6,0.3,cooperative (accept); cooperative (accept),deeper_cascade_seed0,deeper_cascade,0
3,households,Households,3.3,3.6,0.3,cooperative (propose_trade); cooperative (propose_trade),deeper_cascade_seed0,deeper_cascade,0
3,agriculture,Agriculture,2.3,2.4,0.1,objected in genuine crisis; objected in genuine crisis,deeper_cascade_seed0,deeper_cascade,0
